group_id,category,subcategory,framework,ecosystem
GraphQL.Primitives,,,,dotnet
GreenDonut,,,,dotnet
GreenPipes,,,,dotnet
Grpc,,,,dotnet
Grpc.AspNetCore,,,,dotnet
Grpc.AspNetCore.Server,,,,dotnet
Grpc.AspNetCore.Server.ClientFactory,,,,dotnet
Grpc.Auth,,,,dotnet
Grpc.Core,,,,dotnet
Grpc.Core.Api,,,,dotnet
Grpc.Net.Client,,,,dotnet
Grpc.Net.ClientFactory,,,,dotnet
Grpc.Net.Common,,,,dotnet
Grpc.Tools,,,,dotnet
Handlebars.Net,,,,dotnet
Handlebars.Net.Helpers,,,,dotnet
Hangfire,,,,dotnet
Hangfire.AspNetCore,,,,dotnet
Hangfire.Core,,,,dotnet
Hangfire.NetCore,,,,dotnet
Hangfire.SqlServer,,,,dotnet
HarfBuzzSharp,,,,dotnet
HarfBuzzSharp.NativeAssets.Win32,,,,dotnet
HarfBuzzSharp.NativeAssets.macOS,,,,dotnet
HotChocolate,,,,dotnet
HotChocolate.Abstractions,,,,dotnet
HotChocolate.AspNetCore,,,,dotnet
HotChocolate.Execution,,,,dotnet
HotChocolate.Fetching,,,,dotnet
HotChocolate.Language,,,,dotnet
HotChocolate.Language.SyntaxTree,,,,dotnet
HotChocolate.Language.Utf8,,,,dotnet
HotChocolate.Language.Visitors,,,,dotnet
HotChocolate.Subscriptions,,,,dotnet
HotChocolate.Subscriptions.InMemory,,,,dotnet
HotChocolate.Types,,,,dotnet
HotChocolate.Types.CursorPagination,,,,dotnet
HotChocolate.Types.Mutations,,,,dotnet
HotChocolate.Types.OffsetPagination,,,,dotnet
HotChocolate.Types.Scalars.Upload,,,,dotnet
HotChocolate.Utilities,,,,dotnet
HotChocolate.Validation,,,,dotnet
HtmlAgilityPack,,,,dotnet
HtmlSanitizer,,,,dotnet
Humanizer,,,,dotnet
Humanizer.Core,,,,dotnet
Humanizer.Core.af,,,,dotnet
Humanizer.Core.ar,,,,dotnet
Humanizer.Core.az,,,,dotnet
Humanizer.Core.bg,,,,dotnet
Humanizer.Core.bn-BD,,,,dotnet
Humanizer.Core.cs,,,,dotnet
Humanizer.Core.da,,,,dotnet
Humanizer.Core.de,,,,dotnet
Humanizer.Core.el,,,,dotnet
Humanizer.Core.es,,,,dotnet
Humanizer.Core.fa,,,,dotnet
Humanizer.Core.fi-FI,,,,dotnet
Humanizer.Core.fr,,,,dotnet
Humanizer.Core.fr-BE,,,,dotnet
Humanizer.Core.he,,,,dotnet
Humanizer.Core.hr,,,,dotnet
Humanizer.Core.hu,,,,dotnet
Humanizer.Core.hy,,,,dotnet
Humanizer.Core.id,,,,dotnet
Humanizer.Core.is,,,,dotnet
Humanizer.Core.it,,,,dotnet
Humanizer.Core.ja,,,,dotnet
Humanizer.Core.ko-KR,,,,dotnet
Humanizer.Core.ku,,,,dotnet
Humanizer.Core.lv,,,,dotnet
Humanizer.Core.ms-MY,,,,dotnet
Humanizer.Core.mt,,,,dotnet
Humanizer.Core.nb,,,,dotnet
Humanizer.Core.nb-NO,,,,dotnet
Humanizer.Core.nl,,,,dotnet
Humanizer.Core.pl,,,,dotnet
Humanizer.Core.pt,,,,dotnet
Humanizer.Core.ro,,,,dotnet
Humanizer.Core.ru,,,,dotnet
Humanizer.Core.sk,,,,dotnet
Humanizer.Core.sl,,,,dotnet
Humanizer.Core.sr,,,,dotnet
Humanizer.Core.sr-Latn,,,,dotnet
Humanizer.Core.sv,,,,dotnet
Humanizer.Core.th-TH,,,,dotnet
Humanizer.Core.tr,,,,dotnet
Humanizer.Core.uk,,,,dotnet
Humanizer.Core.uz-Cyrl-UZ,,,,dotnet
Humanizer.Core.uz-Latn-UZ,,,,dotnet
Humanizer.Core.vi,,,,dotnet
Humanizer.Core.zh-CN,,,,dotnet
Humanizer.Core.zh-Hans,,,,dotnet
Humanizer.Core.zh-Hant,,,,dotnet
Iced,,,,dotnet
IdentityModel.AspNetCore.OAuth2Introspection,,,,dotnet
Iesi.Collections,,,,dotnet
Irony.NetCore,,,,dotnet
JWT,,,,dotnet
JetBrains.Annotations,,,,dotnet
JsonSubTypes,,,,dotnet
JunitXml.TestLogger,,,,dotnet
K4os.Compression.LZ4,,,,dotnet
K4os.Compression.LZ4.Streams,,,,dotnet
K4os.Hash.xxHash,,,,dotnet
KubernetesClient,,,,dotnet
LaunchDarkly.Cache,,,,dotnet
LaunchDarkly.CommonSdk,,,,dotnet
LaunchDarkly.EventSource,,,,dotnet
LaunchDarkly.InternalSdk,,,,dotnet
LaunchDarkly.Logging,,,,dotnet
LaunchDarkly.ServerSdk,,,,dotnet
LazyCache,,,,dotnet
LinqKit,,,,dotnet
LinqKit.Core,,,,dotnet
LinqKit.Microsoft.EntityFrameworkCore,,,,dotnet
LiteDB,,,,dotnet
Lucene.Net,,,,dotnet
Magick.NET-Q16-AnyCPU,,,,dotnet
Magick.NET.Core,,,,dotnet
MailKit,,,,dotnet
Mapster,,,,dotnet
Mapster.Core,,,,dotnet
Markdig,,,,dotnet
MassTransit,,,,dotnet
MassTransit.Abstractions,,,,dotnet
MassTransit.Azure.ServiceBus.Core,,,,dotnet
MassTransit.Extensions.DependencyInjection,,,,dotnet
MassTransit.RabbitMQ,,,,dotnet
MathNet.Numerics,,,,dotnet
MediatR,,,,dotnet
MediatR.Contracts,,,,dotnet
MediatR.Extensions.Microsoft.DependencyInjection,,,,dotnet
MessagePack,,,,dotnet
MessagePack.Annotations,,,,dotnet
MessagePackAnalyzer,,,,dotnet
MicroElements.Swashbuckle.FluentValidation,,,,dotnet
Microsoft.AppCenter,,,,dotnet
Microsoft.AppCenter.Analytics,,,,dotnet
Microsoft.AppCenter.Crashes,,,,dotnet
Microsoft.ApplicationInsights,,,,dotnet
Microsoft.ApplicationInsights.EventCounterCollector,,,,dotnet
Microsoft.ApplicationInsights.Kubernetes,,,,dotnet
Microsoft.ApplicationInsights.TraceListener,,,,dotnet
Microsoft.ApplicationInsights.WorkerService,,,,dotnet
Microsoft.AspNet.Identity.EntityFramework,,,,dotnet
Microsoft.AspNet.Identity.Owin,,,,dotnet
Microsoft.AspNet.Mvc,,,,dotnet
Microsoft.AspNet.SignalR,,,,dotnet
Microsoft.AspNet.WebApi,,,,dotnet
Microsoft.AspNet.WebApi.Cors,,,,dotnet
Microsoft.AspNet.WebApi.Owin,,,,dotnet
Microsoft.AspNetCore.App,,,,dotnet
Microsoft.AspNetCore.App.Ref,,,,dotnet
Microsoft.AspNetCore.App.Runtime.linux-x64,,,,dotnet
Microsoft.AspNetCore.App.Runtime.win-x64,,,,dotnet
Microsoft.AspNetCore.Components,,,,dotnet
Microsoft.AspNetCore.Components.Analyzers,,,,dotnet
Microsoft.AspNetCore.Components.Authorization,,,,dotnet
Microsoft.AspNetCore.Components.Forms,,,,dotnet
Microsoft.AspNetCore.Components.Web,,,,dotnet
Microsoft.AspNetCore.Components.WebAssembly,,,,dotnet
Microsoft.AspNetCore.Components.WebAssembly.Authentication,,,,dotnet
Microsoft.AspNetCore.DataProtection.EntityFrameworkCore,,,,dotnet
Microsoft.AspNetCore.DataProtection.StackExchangeRedis,,,,dotnet
Microsoft.AspNetCore.Diagnostics.HealthChecks,,,,dotnet
Microsoft.AspNetCore.HostFiltering,,,,dotnet
Microsoft.AspNetCore.Http.Connections.Client,,,,dotnet
Microsoft.AspNetCore.HttpsPolicy,,,,dotnet
Microsoft.AspNetCore.Metadata,,,,dotnet
Microsoft.AspNetCore.Mvc,,,,dotnet
Microsoft.AspNetCore.Mvc.NewtonsoftJson,,,,dotnet
Microsoft.AspNetCore.Mvc.Razor.RuntimeCompilation,,,,dotnet
Microsoft.AspNetCore.Mvc.Testing,,,,dotnet
Microsoft.AspNetCore.Mvc.Versioning,,,,dotnet
Microsoft.AspNetCore.Mvc.Versioning.ApiExplorer,,,,dotnet
Microsoft.AspNetCore.Mvc.WebApiCompatShim,,,,dotnet
Microsoft.AspNetCore.OData,,,,dotnet
Microsoft.AspNetCore.OpenApi,,,,dotnet
Microsoft.AspNetCore.Server.IIS,,,,dotnet
Microsoft.AspNetCore.SignalR,,,,dotnet
Microsoft.AspNetCore.SignalR.Client,,,,dotnet
Microsoft.AspNetCore.SignalR.Client.Core,,,,dotnet
Microsoft.AspNetCore.SpaServices.Extensions,,,,dotnet
Microsoft.Azure.Amqp,,,,dotnet
Microsoft.Azure.AppConfiguration.AspNetCore,,,,dotnet
Microsoft.Azure.Cosmos,,,,dotnet
Microsoft.Azure.DurableTask.AzureStorage,,,,dotnet
Microsoft.Azure.DurableTask.Core,,,,dotnet
Microsoft.Azure.Functions.Analyzers,,,,dotnet
Microsoft.Azure.Functions.Extensions,,,,dotnet
Microsoft.Azure.Functions.Worker,,,,dotnet
Microsoft.Azure.Functions.Worker.Core,,,,dotnet
Microsoft.Azure.Functions.Worker.Extensions.Abstractions,,,,dotnet
Microsoft.Azure.Functions.Worker.Extensions.Http,,,,dotnet
Microsoft.Azure.Functions.Worker.Grpc,,,,dotnet
Microsoft.Azure.Functions.Worker.ItemTemplates,,,,dotnet
Microsoft.Azure.Functions.Worker.ItemTemplates.NetCore,,,,dotnet
Microsoft.Azure.Functions.Worker.ProjectTemplates,,,,dotnet
Microsoft.Azure.Functions.Worker.Sdk,,,,dotnet
Microsoft.Azure.Functions.Worker.Sdk.Analyzers,,,,dotnet
Microsoft.Azure.Functions.Worker.Sdk.Generators,,,,dotnet
Microsoft.Azure.Management.Graph.RBAC.Fluent,,,,dotnet
Microsoft.Azure.Management.Msi.Fluent,,,,dotnet
Microsoft.Azure.Management.ResourceManager.Fluent,,,,dotnet
Microsoft.Azure.SignalR,,,,dotnet
Microsoft.Azure.SignalR.Protocols,,,,dotnet
Microsoft.Azure.WebJobs,,,,dotnet
Microsoft.Azure.WebJobs.Extensions.DurableTask,,,,dotnet
